date,1. open,2. high,3. low,4. close,5. volume
2023-12-14,404.98,406.3,400.34,403.39,55447808.0
2023-12-13,399.62,404.36,398.8399,403.74,55408129.0
2023-12-12,395.56,398.79,394.41,398.67,39221152.0
2023-12-11,391.74,395.79,391.53,395.52,41198021.0
2023-12-08,388.67,392.62,388.4801,392.17,46687525.0
2023-12-07,388.07,391.27,386.96,390.43,49593545.0
2023-12-06,390.27,390.37,384.7,385.05,41522328.0
2023-12-05,384.39,388.5,384.21,387.29,42932956.0
2023-12-04,386.09,386.595,382.66,386.32,51186944.0
2023-12-01,387.75,390.54,386.0726,389.94,40490068.0
2023-11-30,390.08,390.55,385.82,388.83,52834381.0
2023-11-29,392.69,394.14,389.46,389.81,38811745.0
2023-11-28,388.41,390.78,388.05,390.19,35491123.0
2023-11-27,389.01,391.1499,388.28,389.17,34139656.0
2023-11-24,389.65,390.25,388.5,389.51,15718832.0
2023-11-22,390.57,393.07,389.04,390.06,44178572.0
2023-11-21,389.01,389.23,386.7,388.47,43336989.0
2023-11-20,386.05,391.41,386.05,390.74,44536669.0
2023-11-17,385.21,387.07,384.29,386.04,46622745.0
2023-11-16,384.84,386.19,383.56,385.95,45343544.0
2023-11-15,387.25,387.75,384.235,385.62,54141385.0
2023-11-14,383.71,386.26,383.18,385.33,67792634.0
2023-11-13,376.79,378.28,375.24,377.21,40733505.0
2023-11-10,371.82,378.54,371.28,378.39,58368439.0
2023-11-09,373.64,374.8,369.57,370.07,53859421.0
2023-11-08,373.08,373.79,370.62,372.94,35663373.0
2023-11-07,370.27,373.58,369.045,372.7,50777398.0
2023-11-06,368.49,369.78,366.91,369.21,38848743.0
2023-11-03,364.75,369.02,364.52,367.71,53280457.0
2023-11-02,361.54,363.68,360.3,363.44,58162442.0
2023-11-01,351.72,357.5298,351.62,356.96,58992666.0
2023-10-31,349.23,351.25,346.62,350.87,47671906.0
2023-10-30,347.83,350.54,346.45,349.2,55298536.0
